Keyword,Rank,Ratio
bodybuilding,750,0 (0)
gymshark66,325,0 (0)
pumpingiron,325,0 (0)
crossfitlove,325,0 (0)
crossfitaddict,325,0 (0)
crossfitcoach,99,0 (0)
crossfitbox,99,0 (0)
1stphorm,325,0 (0)
bodybuildingcom,325,0 (0)
npcbikini,325,0 (0)
npcfigure,325,0 (0)
ifbbpro,325,0 (0)
ifbbbikini,325,0 (0)
ifbbproleague,325,0 (0)
ukbff,325,0 (0)
shelifts,325,0 (0)
girlwholift,325,0 (0)
bicepworkout,325,0 (0)
shoulderworkout,325,0 (0)
tricepsworkout,325,0 (0)
delts,325,0 (0)
goldsgym,325,0 (0)
shredzarmy,325,0 (0)
oldschoolbodybuilding,99,0 (0)
bouldershoulders,99,0 (0)
gymworkouts,325,0 (0)
bodyweightworkout,325,0 (0)
upperbodyworkout,325,0 (0)
pullups,325,0 (0)
powerliftingwomen,325,0 (0)
girlswholiftheavy,325,0 (0)
figurecompetitor,325,0 (0)
bodybuildingnation,325,0 (0)
instabodybuilding,325,0 (0)
pushpullgrind,325,0 (0)
mensphysique,400,0 (0)
24hourfitness,325,0 (0)
bpisports,99,0 (0)
lafitness,325,0 (0)
workoutmode,99,0 (0)
womenwholift,325,0 (0)
momswithmuscle,99,0 (0)
momswholift,325,0 (0)
momswithmuscles,99,0 (0)
momsthatlift,99,0 (0)
gymsharkwomen,325,0 (0)
myprotein,325,0 (0)
alphalete,325,0 (0)
deadlifts,325,0 (0)
chestworkout,325,0 (0)
fitnessaddict,500,0 (0)
gymlifestyle,325,0 (0)
gymselfie,325,0 (0)
bodyengineers,99,0 (0)
doyoueven,325,0 (0)
cellucor,99,0 (0)
musclepharm,99,0 (0)
prozis,99,0 (0)
justlift,99,0 (0)
bodybuildinglifestyle,325,0 (0)
femalebodybuilder,99,0 (0)
naturalbodybuilding,325,0 (0)
bodybuildingwomen,99,0 (0)
bodybuilders,325,0 (0)
gymflow,325,0 (0)
weightlifting,400,0 (0)
powerliftingmotivation,325,0 (0)
fitnessmotivation,450,0 (0)
fitnessjourney,500,0 (0)
fitnessmodel,500,0 (0)
fitnesslifestyle,400,0 (0)
fitnessgoals,400,0 (0)
fitnessfreak,400,0 (0)
fitnessbody,325,0 (0)
fitnessphysique,325,0 (0)
fitnesslife,400,0 (0)
fitnesstips,325,0 (0)
fitnesstransformation,325,0 (0)
fitnesscoach,325,0 (0)
fitnessmodels,325,0 (0)
fitnessgirls,325,0 (0)
